idx,n,edges,root_children,total_nodes,est_cover,truth_cover
0,70,464,2,10001,52,54
1,64,392,2,10001,47,50
2,34,108,2,10001,22,23
3,58,325,2,10001,42,44
4,40,157,2,10001,27,28
5,63,419,2,10001,47,49
6,52,263,2,10001,37,37
7,40,136,2,10001,27,28
8,32,91,2,9967,19,20
9,40,161,2,10001,27,28
10,58,342,2,10001,43,46
11,49,249,2,10001,36,36
12,53,305,2,10001,38,39
13,53,279,2,10001,38,39
14,53,283,2,10001,38,39
15,61,367,2,10001,44,46
16,50,270,2,10001,36,37
17,38,141,2,10001,26,28
18,44,191,2,10001,30,32
19,58,343,2,10001,43,44
20,52,272,2,10001,37,38
21,66,398,2,10001,48,49
22,38,131,2,10001,24,24
23,68,441,2,10001,52,53
24,64,406,2,10001,48,49
25,35,103,2,10001,22,22
26,47,184,2,10001,32,33
27,56,296,2,10001,38,40
28,47,220,2,10001,31,33
29,46,199,2,10001,31,32
30,65,412,2,10001,48,49
31,39,162,2,10001,26,26
32,47,210,2,10001,33,33
33,67,469,2,10001,51,52
34,70,472,2,10001,51,52
35,67,434,2,10001,50,52
36,52,288,2,10001,39,39
37,40,148,2,10001,26,27
38,34,120,2,10001,22,22
39,47,221,2,10001,33,35
40,51,257,2,10001,36,40
41,51,272,2,10001,38,38
42,54,272,2,10001,38,38
43,51,261,2,10001,36,38
44,42,192,2,10001,30,30
45,69,488,2,10001,53,56
46,57,337,2,10001,42,42
47,38,121,2,10001,24,24
48,33,101,2,10001,21,21
49,59,335,2,10001,43,46
